Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
الحسين يوحدنا 7,سيد_شرف_الستراوي\n#علي_حمادة\n#فوزي_الدرازي\n\nمع,,1437 هـ,ماتم سيد محمود  - المحرق\n\nالهندسة الصوتية : حسن مرهون
عصروك بالجدار,سيد_شرف_الستراوي\nاستشهاد,استشهاد فاطمة الزهراء (ع) - 1437 هـ\nموكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية: علي مبارك,1437 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية: علي مبارك
يكفي صبرا,مهدي_سهوان\nاستشهاد,استشهاد الامام الصادق (ع) - 1433 هـ\nمسجد الزهراء - مدينة الزهراء - البحرين,1433 هـ,مسجد الزهراء - مدينة الزهراء - البحرين
صاحب الراية,صالح_الدرازي\nليلة,,1438 هـ,ماتم ابو صيبع - البحرين\n\nالهندسة الصوتية : شريف المرهون
لبيك ربي,سيد_هاني_الوداعي\nذكرى,,1438 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : جرح الحسين
ضفاف الحزن,يوسف_الرومي\nاستشهاد,استشهاد فاطمة الزهراء (ع) - 1438 هـ\nموكب ولي العصر - الدبابية - القطيف\n\nالتسجيل الصوتي: جلال راشد - حسين الدار \nالهندسة الصوتية : علي مبارك - جلال راشد,1438 هـ,موكب ولي العصر - الدبابية - القطيف\n\nالتسجيل الصوتي: جلال راشد - حسين الدار \nالهندسة الصوتية : علي مبارك - جلال راشد
الراضون بالقضاء,علي_حمادي\nاستشهاد,استشهاد الامام علي الرضا (ع)  - 1434 هـ\nماتم السنابس - البحرين\n\nالهندسة الصوتية : محمود سعيد,1434 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : محمود سعيد
نصرتي لكم معدة,عبد_الأمير_البلادي\nليلة,,1439 هـ,موكب الموحد - ماتم راس رمان - البحرين\n\nالهندسة الصوتية : جرح الحسين
أم اليقين,جعفر_الدرازي\nوفاة,وفاة السيدة ام البنين (ع) - 1441 هـ\nموكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : حسن مرهون,1441 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : حسن مرهون
نبكيك حيدر,صالح_الدرازي\nاستشهاد,استشهاد الإمام علي (ع) - 1429 هـ\nحسينية الامام الراحل  - الكويت\n\nالهندسة الصوتية : عبدالله مبارك و محمد جراغ,1429 هـ,حسينية الامام الراحل  - الكويت\n\nالهندسة الصوتية : عبدالله مبارك و محمد جراغ
,"صالح_الشيخ, حسن_نوروز\nاستشهاد",استشهاد الامام جعفر الصادق (ع) - 1437 هـ\nماتم السنابس - السنابس - البحرين,1437 هـ,ماتم السنابس - السنابس - البحرين
كونوا زيناً,أحمد_قربان\nليلة,استشهاد الامام جعفر الصادق (ع) - 1438 هـ\nماتم الحجر - البحرين\n\nالهندسة الصوتية : جرح الحسين,1438 هـ,ماتم الحجر - البحرين\n\nالهندسة الصوتية : جرح الحسين
,صالح_الشيخ\nاستشهاد,استشهاد الامام جعفر الصادق (ع) - 1434 هـ\nموكب و ماتم أهالي الديه,1434 هـ,موكب و ماتم أهالي الديه
بداياتي,الشيخ_حسين_الأكرف,,1427 هـ,
جعفريون الولاء,سيد_شرف_الستراوي\nاستشهاد,استشهاد الامام جعفر الصادق (ع) - 1436 هـ\nماتم كرباباد الشرقي - كرباباد\n\nالهندسة الصوتية : محسن الدقاق,1436 هـ,ماتم كرباباد الشرقي - كرباباد\n\nالهندسة الصوتية : محسن الدقاق
رحمة الخالق,"صادق_العكراوي, عبد_الأمير_البلادي, جعفر_الدرازي",استشهاد الإمام جعفر الصادق (ع) - 1443 هـ\nموكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : اللجنة الإعلامية للموكب,1443 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : اللجنة الإعلامية للموكب
مسلك العاشقين,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام جعفر الصادق (ع) - 1441 هـ\nموكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : محمد سلمان,1441 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : محمد سلمان
إباء,الشيخ_حسين_الأكرف,,1430 هـ,
الجرح العارف,الشيخ_حسين_الأكرف\nشهر,,1426 هـ,
أنت عيني و جبيني,الشيخ_حسين_الأكرف\nليلة,,1427 هـ,موكب ماتم حج عباس - المنامة
صوت دعوانا,علي_حمادي\nيوم,استشهاد الامام جعفر الصادق 1439 هـ\nموكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالهندسة الصوتية : علي مبارك,1439 هـ,موكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالهندسة الصوتية : علي مبارك
أسوة الفقاهة,أحمد_قربان\nاستشهاد,استشهاد الامام جعفر الصادق 1439 هـ\nماتم كرباباد الشرقي - كرباباد\nالتسجيل الصوتي : حسن منصور\nالهندسة الصوتية : علي مبارك,1439 هـ,ماتم كرباباد الشرقي - كرباباد\nالتسجيل الصوتي : حسن منصور\nالهندسة الصوتية : علي مبارك
حوزة آل محمد,سيد_هاني_الوداعي\nاستشهاد,استشهاد الامام جعفر الصادق (ع) - 1440 هـ\nماتم كرباباد الشرقي - كرباباد\n\nالهندسة الصوتية : جرح الحسين,1440 هـ,ماتم كرباباد الشرقي - كرباباد\n\nالهندسة الصوتية : جرح الحسين
ليلة الفاجعة,سيد_شرف_الستراوي\nليلة,,1439 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : ستوديو الترابي
أنت فوق الشبهات,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الإمام علي (ع) 1436 هـ\nحسينية البلوش - الكويت,1436 هـ,حسينية البلوش - الكويت
,سيد_حسين_المالكي\nاستشهاد,استشهاد الإمام جعفر الصادق (ع) - 1440 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1440 هـ,موكب ماتم بن سلوم المركزي - المنامة
زوار الصادق,"جعفر_الدرازي, سيد_محمود_الموسوي, جعفر_القشعمي\nاستشهاد",استشهاد الإمام جعفر الصادق (ع) - 1436 هـ\nماتم مدينة عيسى - مدينة عيسى البحرين,1436 هـ,ماتم مدينة عيسى - مدينة عيسى البحرين
حامي الشريعة,صادق_العكراوي\nاستشهاد,استشهاد الإمام جعفر الصادق (ع) - 1438 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1438 هـ,موكب ماتم بن سلوم المركزي - المنامة
حوزة الكرامة,يوسف_الرومي\nاستشهاد,استشهاد الإمام جعفر الصادق (ع) - 1437 هـ\nموكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : علي مبارك,1437 هـ,موكب ماتم بن سلوم المركزي - المنامة\n\nالهندسة الصوتية : علي مبارك
إصطفاك الله,سيد_هاني_الوداعي\nوفاة,وفاة السيدة أم البنين (ع) - 1441 هـ\nموكب سترة الخارجية - سترة - البحرين\n\nالهندسة الصوتية : جرح الحسين,1441 هـ,موكب سترة الخارجية - سترة - البحرين\n\nالهندسة الصوتية : جرح الحسين
من جراحاتي,علي_حمادي\nوفاة,وفاة السيدة أم البنين (ع) - 1434 هـ\nالعكر - البحرين الهندسة - محمد سلمان,1434 هـ,
ملكوت,"محمد_الكراني, عبد_الأمير_البلادي\n1436",,1436 هـ,
أدركوا الفتح,أحمد_قربان\nليلة,,1439 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : جرح الحسين
أبداً يا حسين,الشيخ_حسين_الأكرف\n\n1428,,1428 هـ,
كاظم الآل,صالح_الدرازي,استشهاد الإمام الكاظم (ع) 1430 هـ\nالقرية - سترة,1430 هـ,
حسرة الزمن,"صالح_الدرازي, جعفر_الدرازي\nليلة",استشهاد الإمام العسكري (ع) 1431 هـ\nموكب عزاء ماتم عذاري - البحرين\n\nالهندسة الصوتية : سيد محمد الشهركاني,1431 هـ,موكب عزاء ماتم عذاري - البحرين\n\nالهندسة الصوتية : سيد محمد الشهركاني
أعظم نار,صالح_الدرازي\nتسقيط,,1429 هـ,
قائد السلام,سيد_شرف_الستراوي,استشهاد الامام العسكري (ع) - 1444 هـ\nموكب صدد المركزي (27)\n\nالهندسة الصوتية : جرح الحسين,1444 هـ,موكب صدد المركزي (27)\n\nالهندسة الصوتية : جرح الحسين
وارث الحزن,سيد_شرف_الستراوي\n\nالقرآن,استشهاد الامام العسكري (ع) - 1443 هـ\nموكب صدد المركزي (26)\n\nالهندسة الصوتية : جرح الحسين,1443 هـ,موكب صدد المركزي (26)\n\nالهندسة الصوتية : جرح الحسين
,صالح_الدرازي\nليلة,,1441 هـ,موكب عزاء النعيم - البحرين\n\nالهندسة الصوتية : شريف المرهون
آخر زيارة,سيد_هاني_الوداعي\nليلة,,1440 هـ,موكب عزاء النعيم - البحرين\n\nالهندسة الصوتية : جرح الحسين
من كزينب,"صالح_الدرازي, جعفر_الدرازي\nاستشهاد",استشهاد السيدة زينب (ع) 1440 هـ\nمأتم السنابس - البحرين\n\nالتسجيل الصوتي : جرح الحسين \nالهندسة الصوتية : محسن الدقاق,1440 هـ,
أنت تدري,الشيخ_حسين_الأكرف\nليلة,,1433 هـ,حسينية البلوش - الكويت
صادق آل محمد,سيد_شرف_الستراوي\nاستشهاد,استشهاد الأمام الصادق (ع) - 1435 هـ\nمأتم كرباباد الشرقي - البحرين,1435 هـ,
كونوا أحرار,علي_حمادي\nليلة,,1431 هـ,
شهيد الصلاة,عبد_الأمير_البلادي\nاستشهاد,استشهاد الامام علي (ع) ليلة 22 رمضان - 1434 هـ\nمأتم الامام علي (ع)  - ابو قوة\n\nالهندسة الصوتية : محسن الدقاق شبكة اشجان,1434 هـ,
ثورة الأبرياء,صالح_الدرازي\nاستشهاد,استشهاد السيدة زينب (ع)  - 1427 هـ\nمأتم كرباباد الشرقي - كرباباد - البحرين\n\nالهندسة الصوتية : محسن الدقاق,1427 هـ,
الليلة الأخيرة,سيد_هاني_الوداعي\nليلة,,1439 هـ,موكب عزاء باربار - البحرين\n\nالتسجيل : سيد محمد الوداعي و زهير مبارك\nالهندسة الصوتية : جرح الحسين
أنت الحرية,الشيخ_حسين_الأكرف\nتأبين,,1426 هـ,
خارج المألوف,جعفر_القشعمي\n1432,,1432 هـ,
أعظم وفية,صالح_الدرازي\nوفاة,وفاة السيدة أم البنين (ع) - 1436 هـ\nالحسينية الحيدرية - الكويت,1436 هـ,حسينية الحيدرية - الكويت
,سيد_شرف_الستراوي\nاستشهاد,استشهاد الإمام موسى الكاظم (ع) - 1440 هـ\nمسجد فاطمة الزهراء - الدوار الرابع\n\nالهندسة الصوتية : جرح الحسين,1440 هـ,مسجد فاطمة الزهراء - الدوار الرابع\n\nالهندسة الصوتية : جرح الحسين
زينب الكبرى,أحمد_قربان\nاستشهاد,استشهاد السيدة زينب (ع) - 1439 هـ\nهيئة وموكب عزاء قرية بوري - البحرين\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,موكب عزاء قرية بوري - البحرين\n\nالهندسة الصوتية : جرح الحسين
,يوسف_الرومي\nوفاة,وفاة السيدة رقية سلام الله عليها - 1444 هـ\nمأتم الجعفرية - قرية الديه\n\nالهندسة الصوتية : علي مبارك,1444 هـ,
أنا مع القرآن,الشيخ_حسين_الأكرف\nشهر,,1432 هـ,
الصديق الأعظم,طاهر_الدرازي\nإستشهاد,,1444 هـ,موكب ماتم بن سلوم -  المنامة
الزحف الكربلائي,علي_حمادي\nليلة,,1433 هـ,ماتم السنابس - البحرين
أخت الحسين,"علي_حمادي, مهدي_سهوان\n\nذكرى",,1430 هـ,ماتم الامام علي (ع) - أبو قوة\n\nشارك الرادود علي حمادي مع الرادود إبراهيم الموت قبلها بمرتين للشريط
أنت امام الأحرار,مهدي_سهوان\nليلة,,1431 هـ,موكب ماتم بن سلوم - المنامة\n\nالتسجيل و الهندسة الصوتية : محسن الدقاق
حرام,صالح_الدرازي\n1432,,1432 هـ,
خير العمل,سيد_هاني_الوداعي,استشهاد الإمام علي (ع) - ليلة 22 رمضان 1432 هـ\nماتم الامام علي (ع) - أبو قوة,1432 هـ,ماتم الامام علي (ع) - أبو قوة
بدم النحر فديناك,سيد_شرف_الستراوي\n\nاستشهاد,استشهاد الامام موسى الكاظم (ع) 1434 هـ \nمسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nالهندسة الصوتية : محسن الدقاق,1434 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nالهندسة الصوتية : محسن الدقاق
ثقافتي,جعفر_القشعمي\n1439,,1439 هـ,
قتلوه ضاميا,صالح_الدرازي\nليلة,,1419 هـ,موكب ماتم بن سلوم - المنامة
شمس الخلود,سيد_هاني_الوداعي\nليلة,,1439 هـ,
خدامك,حسن_نوروز\n1437,,1437 هـ,
المخفية قبرا,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع) 1431 هـ\nموكب المحرق المركزي,1431 هـ,موكب المحرق المركزي
أنا لا أنسى زينب,الشيخ_حسين_الأكرف\nوفاة,وفاة السيدة زينب (ع) 1428هـ\nحسينية البلوش - الكويت,1428هـ,حسينية البلوش - الكويت
أنا عاشق زينب,الشيخ_حسين_الأكرف\nوفاة,وفاة السيدة زينب (ع) 1436هـ\nحسينية البلوش - الكويت,1436هـ,حسينية البلوش - الكويت
طيور السلام,"صالح_الدرازي, جعفر_الدرازي\nليلة",,1426 هـ,موكب عزاء قرية بوري - البحرين
قالت كربلاء,صالح_الدرازي\nليلة,,1428 هـ,حسينية الامام الباقر (ع) - قرية بوري
رجوع الراس,صالح_الدرازي\nأربعين,,1431 هـ,
دمع العباد,صالح_الدرازي\nاستشهاد,استشهاد الامام زين العابدين (ع)  1431 هـ\nماتم الجبور  (ع) - دار كليب - البحرين\n\nالهندسة الصوتية : سيد محمد الشهركاني,1431 هـ,ماتم الجبور  (ع) - دار كليب - البحرين\n\nالهندسة الصوتية : سيد محمد الشهركاني
عهداً منا,جعفر_الدرازي\n,,1430 هـ,
حلم الرجوع,جعفر_الدرازي\n1429,,1429 هـ,
الإمام المؤتمن,سيد_شرف_الستراوي\nاستشهاد,استشهاد الإمام الحسن المجتبى (ع) 1436 هـ\nموكب عزاء سفالة - سترة\n\nالهندسة الصوتية : محمود سعيد,1436 هـ,موكب عزاء سفالة - سترة\n\nالهندسة الصوتية : محمود سعيد
الراية المنصورة,علي_حمادي\nليلة,,1435 هـ,ماتم سار الكبير - سار - البحرين\n\nالهندسة الصوتية : محمد سلمان
عطشان الشوفة وجهك,"سيد_علوي_أبو_غايب, أبو_غايب\n1432",,1432 هـ,
فاز الشهيد,عبد_الأمير_البلادي\n1434,,1434 هـ,
حناجر الحسين,ميثم_التمار\n#علي_حمادي\n#سيد_ناصر_الشرف\n#سيد_هاني_الوداعي\n#صالح_الشيخ\n1434,,1434 هـ,
اغسلي الآلام بالكوثر,سيد_هاني_الوداعي\nليلة,,1431 هـ,موكب ماتم بن سلوم - المنامة
أنا القاسم,الشيخ_حسين_الأكرف\nليلة,,1432هـ,موكب ماتم الحاج عباس - المنامة
سيد الفرات,سيد_هاني_الوداعي\nليلة,,1440 هـ,موكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : جرح الحسين
أم الشهيد,صالح_الدرازي\nتسقيط,,1432 هـ,ماتم الامام علي (ع) - أبو قوة\n\nالهندسة الصوتية : سيد محمد الشهركاني
قرابين,"يوسف_الرومي, سيد_ناصر_الشرف\n1434",,1434 هـ,
دعاء الفقد,سيد_هاني_الوداعي\nاستشهاد,استشهاد النبي محمد (ص) - 1439 هـ\nموكب عزاء بار بار  - البحرين\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,موكب عزاء بار بار  - البحرين\n\nالهندسة الصوتية : جرح الحسين
دفتر حبيب,عبد_الأمير_البلادي\nليلة,,1439 هـ,موكب الكاظم (ع) - الشويكة
سؤال العاشر,جعفر_الدرازي\nمحرم,,1433 هـ,
يالثارات الضلوع,"مهدي_سهوان, علي_حمادي, صالح_الشيخ",,1433 هـ,
أم التضحيات,الشيخ_حسين_الأكرف\nذكرى,ذكرى وفاة السيدة زينب (ع) 1433 هـ\nحسينية الإمام الراحل - الكويت,1433 هـ,حسينية الإمام الراحل - الكويت
أم البنين الوجعانة,الشيخ_حسين_الأكرف\nذكرى,ذكرى وفاة أم البنين (ع) 1425 هـ\nحسينية الولاية - الكويت,1425 هـ,حسينية الولاية - الكويت
كل البحرين تبكيك حسين,عبد_الأمير_البلادي\nليلة,,1433 هـ,موكب ماتم بن سلوم - المنامة
ملحمة الركب 9,"سيد_هاني_الوداعي, جعفر_الدرازي\n",,1430 هـ,
ألم و عتاب,"علي_المعلم\nمشترك, سيد_ناصر_الشرف, عيسى_النوري, سيد_عبدالله_البلادي\n\n",,1433 هـ,
كلام الدموع,"علي_حمادة, خليل_الجردابي\n",,1433 هـ,
أم الوفاء,الشيخ_حسين_الأكرف\nوفاة,وفاة ام البنين سلام الله عليها - 1428 هـ\nحسينية الولاية - دولة الكويت,1428 هـ,حسينية الولاية - دولة الكويت
إنتظار الفرج,صالح_الدرازي\n\nماتم,,1429 هـ,ماتم ابو صيبع  - أبو صيبع - في ذكرى إسشتهاد الامام الحسن العسكري (ع) - عام 1429 هـ
أيتام,علي_حمادي\nاستشهاد,استشهاد الأمام علي (ع) - ليلة 19 رمضان 1429 هـ\nالكويت,1429 هـ,
آل النبي مذهبي,مهدي_سهوان\nاستشهاد,استشهاد الأمام علي الهادي (ع) - 1439 هـ\nموكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : الحسين,1439 هـ,موكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : الحسين
والقبر هدمتم,صالح_الدرازي\n\nاستشهاد,استشهاد الإمام علي الهادي (ع) 1428 هـ\nمأتم كرانة - كرانة\n\nما بعد أحداث تفجير مرقد الإمامين العسكريين (ع) في سامراء العراق 2006\n\nملاحظة: يوجد العديد من المشاكل في التسجيل الصوتي هذا - إلّا إنة التسجيل الاصلي ( الرسمي ) للمشاركة.. حيث إن الخلل والمشاكل من وقت التسجيل اثناء المشاركة - ثم تمت المحاولة للتعديل علية واعتمادة كتسجيل صوتي على الرغم من المشاكل فيه وتم اعتمادة ايضا على النسخة المرئية كذلك لعدم وجود تسجيل آخر  .. كما إن للشريط إعادة لجزء منه وفقراته في نفس المناسبة والسنة  ( استشهاد الامام علي الهادي 1428 هـ  ) بموكب الدراز يوم الوفاة عصراً,1428 هـ,موكب الدراز يوم الوفاة عصراً
معراج الذاكرين,"سيد_هاني_الوداعي, قاسم_مرهون\n\nاستشهاد",استشهاد الإمام موسى الكاظم (ع) 1439 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nجرح الحسين,1439 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nجرح الحسين
إصعدي بالجراح,الشيخ_حسين_الأكرف\n\nوفاة,وفاة السيدة زينب (ع) 1431 هـ\nمأتم الإمام علي (ع) - أبو قوة,1431 هـ,
إلى كربلاء 5,صالح_الدرازي\nليلة,,1443 هـ,ماتم القرية القديم - سترة
إلى كربلاء 4,صالح_الدرازي\nليلة,,1442 هـ,ماتم القرية القديم - سترة
إلى كربلاء 3,صالح_الدرازي\nليلة,,1441 هـ,ماتم القرية القديم - سترة
إلى كربلاء 2,صالح_الدرازي\nليلة,,1440 هـ,ماتم القرية القديم - سترة
إلى كربلاء 1,صالح_الدرازي\nليلة,,1439 هـ,ماتم القرية القديم - سترة
بك مؤمنون,سيد_هاني_لوداعي\nوفاة,وفاة أم البنين سلام الله عليها - 1439 هـ\nموكب عزاء سترة - الخارجية\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,موكب عزاء سترة - الخارجية\n\nالهندسة الصوتية : جرح الحسين
بدر الزمان,أحمد_قربان\n\nاستشهاد,استشهاد الإمام الحسن العسكري (ع) \nليلة 9 ربيع الأول 1438 هـ\nمأتم السنابس الجديد - السنابس\n\nالهندسة الصوتية: حسن مرهون\nشبكة أشجان,1438 هـ,
الحيدرية 13,"صالح_الدرازي, جعفر_الدرازي\nاستشهاد",استشهاد الإمام زين العابدين (ع) \nليلة 26 محرم 1422 هـ 2001 م\nالحسينية الحيدرية - الكويت,1422 هـ,حسينية الحيدرية - الكويت
وسيلتنا,"صالح, الشيخ_حسين_الأكرف\nذكرى",ذكرى وفاة أم البنين سلام الله عليها - 1435 هـ\nحسينية النور - الكويت,1435 هـ,حسينية النور - الكويت
إعتذار,سيد_هاني_الوداعي\n1431,,1431 هـ,
غرباء,صالح_الدرازي\n,,1426 هـ,
مستودع الرحمة,عبد_الأمير_البلادي\nاستشهاد,استشهاد الزهراء (ع) - 1437 هـ\nحسينية كريمي - المحرق,1437 هـ,حسينية كريمي - المحرق
,أحمد_قربان\nاستشهاد,استشهاد الأمام علي (ع)  ليلة 20 رمضان 1444 هـ\nموكب ماتم بن سلوم - المنامة,1444 هـ,موكب ماتم بن سلوم - المنامة
الصديقة الصغرى,الشيخ_حسين_الأكرف\nذكرى,ذكرى وفاة السيدة زينب (ع)\nرجب 1425 هـ\nكرباباد,1425 هـ,
الحق معك,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الامام علي (ع) - 1428 هـ\nماتم الامام علي (ع) - ابو قوة,1428 هـ,ماتم الامام علي (ع) - ابو قوة
المجهولة قدرا,الشيخ_حسين_الأكرف\n1430,,,
الدمعة المحرومة,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الزهراء (ع)\nجمادى الأول 1428 هـ\nمسجد فاطمة الزهراء (ع) - الدوار الرابع,1428 هـ,مسجد فاطمة الزهراء (ع) - الدوار الرابع
يا ثورة الصمود,يوسف_الرومي\nليلة,,1433 هـ,موكب عزاء واديان - سترة
ادركوا الفتح,أحمد_قربان\nليلةالثاني,,1439 هـ,ماتم السنابس - السنابس
الفرقد الستري,"سيد_شرف_الستراوي\n, يوسف_الرومي, سيد_ابراهيم_الستري\n\nرثاء",,1440 هـ,ماتم حمد  - جمعية سترة - واديان الحسينية الثقافية\n\nالهندسة الصوتية : جرح الحسين
جنين السماء,سيد_هاني_الوداعي\nتسقيط,,1439 هـ,موكب ماتم بن سلوم - العاصمة المنامة\n\nالهندسة الصوتية : جرح الحسين
,عبد_الأمير_البلادي\nليلة,,1442 هـ,موكب ماتم بن سلوم - العاصمة المنامة
,سيد_شرف_الستراوي\nليلة,,1442 هـ,موكب ماتم بن سلوم - العاصمة المنامة
,علي_حمادي\nليلة,,1442 هـ,موكب ماتم بن سلوم - العاصمة المنامة
محمد يا مخلد,"حسين_عبد_الرسول, صالح_الدرازي\nيوم",استشهاد الرسول الاعظم النبي محمد (ص) - 1438 هـ\nموكب حسينية الحاج احمد بن خميس - السنابس,1438 هـ,موكب حسينية الحاج احمد بن خميس - السنابس
شكوى,علي_حمادي\nمحرم,,,
صرخة الفاقدين,مهدي_سهوان\nذكرى,ذكرى استشهاد الامام الهادي (ع) - 1430 هـ\nموكب عزاء قرية المقشع,1430 هـ,موكب عزاء قرية المقشع
شهادة,عبد_الأمير_البلادي\nمحرم,,1433 هـ,
فيك ذبنا,"علي_حمادي, مهدي_سهوان\n\nذكرى",ذكرى استشهاد امير المؤمنين الامام علي (ع) \nليلة 22 رمضان - 1439 هـ\nماتم الامام علي (ع) - ابو قوة,1439 هـ,ماتم الامام علي (ع) - ابو قوة
حبل الولاء,عبد_الأمير_البلادي\nذكرى,ذكرى استشهاد الامام علي (ع) - 1440 هـ\nموكب ماتم بن سلوم - العاصمة المنامة,1440 هـ,موكب ماتم بن سلوم - العاصمة المنامة
بهتافاتي,صالح_الدرازي\nليلة,,1437 هـ,موكب عزاء الدراز\n\nالهندسة الصوتية: محسن الدقاق
محراب اليقين,سيد_شرف_الستراوي\nرحيل,,,موكب ماتم بن سلوم - المنامة
,مهدي_سهوان,,,موكب ماتم بن سلوم - المنامة
إرجع يا علي,صالح_الدرازي,استشهاد الإمام علي (ع) 1429\n الحسينية الحيدرية - الكويت\n\nالهندسة الصوتية : عبدالله مبارك - محمد جراغ,,حسينية الحيدرية - الكويت\n\nالهندسة الصوتية : عبدالله مبارك - محمد جراغ
وعد,سيد_هاني_الوداعي,,,
خذي قبرا,صالح_الدرازي,استشهاد فاطمة الزهراء (ع) 1430هـ\nموكب ماتم بن سلوم - المنامة,1430هـ,موكب ماتم بن سلوم - المنامة
الوعد الصادق,الشيخ_حسين_الأكرف,,,
الوداع الأخير,"الشيخ_حسين_الأكرف, صالح_الدرازي",استشهاد الإمام علي (ع) 1423هـ\nمأتم الإمام علي (ع) - أبو قوة,1423هـ,
إلهي بالحسين إقبل ضحايان,الشيخ_حسين_الأكرف,,,
النفس الزكية,الشيخ_حسين_الأكرف\nتأبين,,,
عهد الله ستبقى كربلاء,"جعفر_الدرازي, سيد_وليد_المزيدي\nمن",,1431 هـ,
أذان كربلاء,جعفر_الدرازي\nليلة,,1434 هـ,
ضياع,جعفر_الدرازي\nمحرم,,,
مظهر العجائب,صالح_الدرازي\nاستشهاد,استشهاد الامام علي (ع)  1434 هـ\nالحسينية الحيدرية الكويت,1434 هـ,حسينية الحيدرية الكويت
الفاقدات,جعفر_الدرازي\nمحرم,,,
منذ كسر الضلع,"فاضل_البلادي, جفعر_الدرازي\nليلة",استشهاد الرسول النبي محمد (ص) 1416 هـ,1416 هـ,
بل هم أحياء,صالح_الدرازي\nليلة,,1429 هـ,ماتم كرزكان - كرزكان
فانظر لمن الغلبة,صالح_الدرازي\nاستشهاد,استشهاد السيدة زينب (ع) - 1440 هـ\nماتم آل شهاب - الدراز\n\nالهندسة الصوتية : جرح الحسين,1440 هـ,ماتم آل شهاب - الدراز\n\nالهندسة الصوتية : جرح الحسين
ضياء الهادي,جعفر_سهوان,استشهاد الامام علي الهادي - 1441 هـ\nموكب وحسينية بن خميس,1441 هـ,موكب وحسينية بن خميس
شمس الجواد,صالح_الدرازي\nاستشهاد,استشهاد الامام محمد الجواد - 1430 هـ\nماتم السنابس,1430 هـ,ماتم السنابس
السبط الأول,صالح_الدرازي\nاستشهاد,استشهاد الامام الحسن الزكي - 1428 هـ\nالمالكية,1428 هـ,
ليلة العاشر,صالح_الدرازي\nليلة,,1433 هـ,حسينية الحيدرية - الكويت\n\nالهندسة الصوتية : محمد جراغ
أنا المسموم,صالح_الدرازي\nاستشهاد,استشهاد الامام الحسن المجتبى (ع) 1434 هـ\nحسينية الولاية - الكويت,1434 هـ,حسينية الولاية - الكويت
ضلع السماء,"صالح_الدرازي, جعفر_الدرازي",,1431 هـ,ماتم الامام علي (ع) - أبو قوة\n\nالهندسة الصوتية : سيد حسن الشهركاني
صادقيون,"علي_حمادي, عبد_الأمير_البلادي\nذكرى",ذكرى استشهاد الامام جعفر الصادق (ع) - 1430 هـ\nماتم كرباباد الشرقي - كرباباد,1430 هـ,ماتم كرباباد الشرقي - كرباباد
يا صاحب السلاسل الثقيلة,صالح_الدرازي\nذكرى,ذكرى استشهاد الامام موسى الكاظم (ع) - 1424 هـ\nموكب ماتم بن سلوم - المنامة,1424 هـ,موكب ماتم بن سلوم - المنامة
,"سيد_شرف_الستراوي, صالح_الدرازي, علي_حمادي\nليلة",,1443 هـ,موكب ماتم بن سلوم - المنامة
شيعوا الصادق,"سيد_حسن_البلادي, عبد_الأمير_البلادي\nاستشهاد",استشهاد الإمام جعفر الصادق (ع) - 1430 هـ\nموكب ماتم بن سلوم - المنامة,1430 هـ,موكب ماتم بن سلوم - المنامة
فتية الله,سيد_حسن_البلادي\nليلة,,1441 هـ,موكب ماتم بن سلوم - المنامة
