Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
حرز الموالين,الشيخ_حسين_الأكرف,وفاة أم البنين (ع) - 1431هـ\nحسينية الولاية - الكويت\n\nتسجيل : عبدالله مبارك - محمد جراغ,1431هـ,حسينية الولاية - الكويت\n\nتسجيل : عبدالله مبارك - محمد جراغ
وارثة العناء,سيد_هاني_الوداعي\nشهادة,,1430 هـ,موكب الشهداء بالربيعية - القطيف
خزانة الأسرار,الشيخ_حسين_الأكرف,,1426 هـ,
علمنا أسرار فداك,صالح_الدرازي,,1426 هـ,موكب ماتم الحاج عباس - المنامة - البحرين
فداء تراب نعل أبي تراب,"صالح_الدرازي, علي_حمادي",ذكرى استشهاد أمير المؤمنين الامام علي (ع) \nليلة 21 رمضان 1424 هـ\nموكب عزاء ماتم بن سلوم - المنامة - البحرين,1424 هـ,موكب عزاء ماتم بن سلوم - المنامة - البحرين
ضياع القبر,صالح_الدرازي,ذكرى استشهاد فاطمة الزهراء (ع) 1435 هـ\nمركز الغدير الاسلامي - الكويت,1435 هـ,
خذني إليك,الشيخ_حسين_الأكرف,,1431 هـ,موكب عزاء صدد المركزي (16) \nقرية صدد - البحرين\n\nنسخة منتديات المالكية \nالتسجيل و الهندسة الصوتية : محسن الدقاق
حديث الضريح,الشيخ_حسين_الأكرف,,1431 هـ,موكب عزاء مأتم بن سلوم - المنامة
آه ويلاه إنا لله,الشيخ_حسين_الأكرف,,1425 هـ,موكب عزاء الدراز - البحرين
يا قدوة الثائر,الشيخ_حسين_الأكرف,,1424 هـ,موكب عزاء صدد المركزي (9) \nقرية صدد - البحرين
السلام يا إمام,الشيخ_حسين_الأكرف,,1424 هـ,موكب عزاء مأتم بن سلوم - المنامة
بالدم فالتمطري,"الشيخ_حسين_الأكرف, صالح_الدرازي",,1423 هـ,موكب عزاء صدد المركزي (8) \nقرية صدد - البحرين\n\nتسجيل : محسن الدقاق
بالدم فالتمطري,الشيخ_حسين_الأكرف,,1423 هـ,موكب عزاء مأتم بن خميس - السنابس
كم ترجيك الملايين,"الشيخ_حسين_الأكرف, صالح_الدرازي",,1422 هـ,موكب عزاء صدد المركزي (7) \nقرية صدد - البحرين\n\nتسجيل : محسن الدقاق
ثأرنا عندك يا منتظر,الشيخ_حسين_الأكرف,,1414 هـ,موكب عزاء مأتم بن سلوم - المنامة
,مهدي_سهوان,,1446 هـ,موكب عزاء ماتم بن سلوم -  البحرين \n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
دمعة الأحزان,علي_حمادي,,1446 هـ,موكب عزاء ماتم عذاري -  البحرين \n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
قصة فاطمة,جعفر_الدرازي,استشهاد فاطمة الزهراء (ع) \nليلة 13 جمادى الاول 1437 هـ\nموكب المحرق الموحد - البحرين\n\nالتسجيل الصوتي: محمد البوري \nالهندسة الصوتية: حسن مرهون\n\nجعفر الدرازي ميديا,1437 هـ,موكب المحرق الموحد - البحرين\n\nالتسجيل الصوتي: محمد البوري \nالهندسة الصوتية: حسن مرهون\n\nجعفر الدرازي ميديا
أبواب الحوائج,صالح_الدرازي,ذكرى وفاة السيدة أم البنين سلام الله عليها\nليلة 13 جمادى الثاني 1431 هـ\nسلطنة عمان \n \nالهندسة الصوتية: سيد محمد الشهركاني,1431 هـ,
,مهدي_سهوان,,1446 هـ,موكب عزاء قرية أبو صيبع - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
,يوسف_حمادي,استشهاد الامام الحسن العسكري (ع)\nليلة 8 ربيع الاول 1446 هـ\nموكب عزاء عذاري - البحرين\n\nالتسجيل و الهندسة الصوتية : علي مبارك,1446 هـ,موكب عزاء عذاري - البحرين\n\nالتسجيل و الهندسة الصوتية : علي مبارك
يا أبا الزهراء خذنا,"صالح_الدرازي, جعفر_الدرازي, سيد_حسين_الموسوي",,1416 هـ,ماتم الامام علي(ع) - أبو قوة - البحرين\n\nنسخة مركز العرفان للتسجيلات الاسلامية...\nجميع المقاطع بالترتيب على المشاركة.. عدا المقطعين الاعادة لقصيدة مهدي سهوان قسماً بالضلوع لن نركع (مقلوبين) ..
,عبد_الأمير_البلادي,,1446 هـ,موكب عزاء سفالة - سترة - البحرين\n\nالتسجيل و الهندسة الصوتية : أحمد فخر
كم ترجيك الملايين,"الشيخ_حسين_الأكرف, صالح_الدرازي, جعفر_الدرازي",,1422 هـ,موكب عزاء مأتم الحاج عباس - المنامة
ختام العزية,محمد_بومره\n\nشهادة,,1445 هـ,موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك
قصة يتم,محمد_بومره\n\nشهادة,,1443 هـ,موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك
موعود السما,محمد_بومره\n\nشهادة,,1441 هـ,موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك
متى نراك,الشيخ_حسين_الأكرف,,1429 هـ,موكب عزاء صدد المركزي ( 14 )\n قرية صدد - البحرين
,مهدي_سهوان,,1446 هـ,موكب عزاء مروزان - السنابس - البحرين \n\nالتسجيل الصوتي : حسين المقابي \n الهندسة الصوتية : محمد سلمان
